data,index,Open,High,Low,Close,Volume,*Close
2021/7/26,214,11235,11305,11190,11280,3396200,11280
2021/7/21,215,11045,11155,11005,11105,2850100,11105
2021/7/20,216,11130,11150,10960,11070,4349700,11070
2021/7/19,217,10870,11025,10780,10985,6670700,10985
2021/7/16,218,11110,11270,11035,11220,4015500,11220
2021/7/15,219,11700,11705,11085,11160,3364100,11160
2021/7/14,220,11000,11140,10945,11110,4184000,11110
2021/7/13,221,10900,10945,10835,10840,3912300,10840
2021/7/12,222,10240,10530,10220,10500,5408100,10500
2021/7/9,223,10920,10925,10470,10720,6151900,10720
2021/7/8,224,10570,10980,10560,10790,4561900,10790
2021/7/7,225,10855,11215,10785,11100,5641000,11100
2021/7/6,226,11295,11385,11150,11180,3394600,11180
2021/7/5,227,11220,11305,11165,11240,2715400,11240
2021/7/2,228,11465,11590,11350,11570,4364700,11570
2021/7/1,229,11180,11420,11160,11390,3830900,11390
2021/6/30,230,11405,11565,11380,11525,3087800,11525
2021/6/29,231,11690,11695,11420,11450,2996100,11450
2021/6/28,232,11490,11550,11370,11370,3122600,11370
2021/6/25,233,11240,11335,11160,11205,2965400,11205
2021/6/24,234,11195,11415,11190,11265,3339600,11265
2021/6/23,235,11650,11665,11405,11425,3586600,11425
2021/6/22,236,11700,12025,11660,11995,8379800,11995
2021/6/21,237,12145,12180,11955,12115,5440100,12115
2021/6/18,238,12110,12420,12085,12370,4416500,12370
2021/6/17,239,12130,12205,11975,11975,3888200,11975
2021/6/16,240,12195,12235,12080,12200,3214800,12200
2021/6/15,241,11955,12110,11905,12075,2936400,12075
2021/6/14,242,12190,12215,12065,12125,2619800,12125
2021/6/11,243,12170,12355,12145,12345,3095300,12345
2021/6/10,244,12290,12420,12285,12290,2838900,12290
