data,index,Open,High,Low,Close,Volume,*Close
2021-09-13,180 ,55370 ,55710 ,55040 ,55270 ,659700 ,55270 
2021-09-10,181 ,54400 ,55330 ,54400 ,55270 ,913900 ,55270 
2021-09-09,182 ,54470 ,54950 ,54060 ,54340 ,858100 ,54340 
2021-09-08,183 ,55410 ,55520 ,54280 ,54650 ,1244800 ,54650 
2021-09-07,184 ,56240 ,56290 ,55090 ,55680 ,1513800 ,55680 
2021-09-06,185 ,54800 ,55670 ,54670 ,55140 ,805000 ,55140 
2021-09-03,186 ,54850 ,55100 ,53950 ,54320 ,1064200 ,54320 
2021-09-02,187 ,54000 ,54940 ,53820 ,54690 ,878800 ,54690 
2021-09-01,188 ,53360 ,53840 ,53110 ,53720 ,786400 ,53720 
2021-08-31,189 ,52500 ,53050 ,52140 ,52900 ,810500 ,52900 
2021-08-30,190 ,51420 ,52590 ,51200 ,52490 ,842900 ,52490 
2021-08-27,191 ,51130 ,52040 ,51010 ,51770 ,1030100 ,51770 
2021-08-26,192 ,53000 ,53320 ,52300 ,52550 ,874300 ,52550 
2021-08-25,193 ,52960 ,53480 ,52730 ,53290 ,761500 ,53290 
2021-08-24,194 ,53300 ,53430 ,52920 ,53250 ,893400 ,53250 
2021-08-23,195 ,53040 ,53310 ,52330 ,52560 ,1024600 ,52560 
2021-08-20,196 ,52220 ,52650 ,51980 ,52410 ,875000 ,52410 
2021-08-19,197 ,52010 ,52080 ,51520 ,51590 ,582800 ,51590 
2021-08-18,198 ,51560 ,52430 ,51560 ,52270 ,637100 ,52270 
2021-08-17,199 ,52020 ,52480 ,51630 ,52080 ,609500 ,52080 
2021-08-16,200 ,52190 ,52640 ,51710 ,51940 ,693200 ,51940 
2021-08-13,201 ,52130 ,52940 ,51990 ,52440 ,896100 ,52440 
2021-08-12,202 ,52600 ,52880 ,51880 ,52360 ,1097900 ,52360 
2021-08-11,203 ,50700 ,52690 ,50530 ,52640 ,1610300 ,52640 
2021-08-10,204 ,51700 ,51780 ,50590 ,50810 ,2068100 ,50810 
2021-08-06,205 ,53980 ,54070 ,50830 ,52410 ,3159200 ,52410 
2021-08-05,206 ,56520 ,56840 ,56150 ,56490 ,648200 ,56490 
2021-08-04,207 ,55920 ,56200 ,55130 ,55520 ,843600 ,55520 
2021-08-03,208 ,57020 ,57150 ,55900 ,56730 ,670600 ,56730 
2021-08-02,209 ,56920 ,57740 ,56870 ,57380 ,570600 ,57380 
2021-07-30,210 ,58060 ,58100 ,56370 ,56400 ,1129700 ,56400 
2021-07-29,211 ,58400 ,58880 ,58190 ,58710 ,683400 ,58710 
2021-07-28,212 ,60000 ,60090 ,58940 ,59180 ,750500 ,59180 
2021-07-27,213 ,59990 ,60650 ,59900 ,60430 ,503100 ,60430 
2021-07-26,214 ,60750 ,60890 ,59940 ,60120 ,790800 ,60120 
2021-07-21,215 ,60670 ,60680 ,59560 ,59820 ,1071200 ,59820 
2021-07-20,216 ,60290 ,60560 ,59650 ,59970 ,1304300 ,59970 
2021-07-19,217 ,62260 ,62490 ,60850 ,61290 ,944200 ,61290 
2021-07-16,218 ,62950 ,63090 ,62380 ,62500 ,631900 ,62500 
2021-07-15,219 ,63000 ,63400 ,62730 ,63280 ,536400 ,63280 
2021-07-14,220 ,63770 ,64470 ,63430 ,63430 ,865200 ,63430 
2021-07-13,221 ,63650 ,64030 ,63010 ,63340 ,798400 ,63340 
2021-07-12,222 ,64000 ,64130 ,63200 ,63720 ,671900 ,63720 
2021-07-09,223 ,63690 ,64480 ,62420 ,63290 ,1410100 ,63290 
2021-07-08,224 ,65900 ,66020 ,63160 ,63160 ,1697300 ,63160 
2021-07-07,225 ,66760 ,66990 ,66030 ,66700 ,999200 ,66700 
2021-07-06,226 ,65480 ,66900 ,65310 ,66760 ,913000 ,66760 
2021-07-05,227 ,65170 ,65900 ,64920 ,65150 ,537200 ,65150 
2021-07-02,228 ,64320 ,65150 ,63790 ,65150 ,531900 ,65150 
2021-07-01,229 ,64720 ,64850 ,63930 ,64510 ,501500 ,64510 
2021-06-30,230 ,64880 ,65220 ,64520 ,64620 ,520100 ,64620 
2021-06-29,231 ,64900 ,65200 ,64130 ,64600 ,572500 ,64600 
2021-06-28,232 ,64350 ,64780 ,64160 ,64490 ,509100 ,64490 
2021-06-25,233 ,64670 ,64740 ,63930 ,64070 ,576800 ,64070 
2021-06-24,234 ,64690 ,64720 ,64120 ,64410 ,471500 ,64410 
2021-06-23,235 ,64500 ,64960 ,63370 ,64080 ,1025800 ,64080 
2021-06-22,236 ,65300 ,65330 ,64730 ,65190 ,614000 ,65190 
2021-06-21,237 ,64930 ,65550 ,64260 ,64730 ,765200 ,64730 
2021-06-18,238 ,65100 ,65400 ,64470 ,65300 ,1054000 ,65300 
2021-06-17,239 ,62720 ,64140 ,62710 ,64000 ,845000 ,64000 
2021-06-16,240 ,63600 ,64000 ,61970 ,63250 ,2381300 ,63250 
2021-06-15,241 ,64780 ,65330 ,64180 ,65070 ,800600 ,65070 
2021-06-14,242 ,67070 ,67350 ,64850 ,65080 ,1296700 ,65080 
2021-06-11,243 ,67420 ,67850 ,67090 ,67150 ,616000 ,67150 
2021-06-10,244 ,67450 ,67780 ,66820 ,67090 ,511000 ,67090 
