data,index,Open,High,Low,Close,Volume,*Close
2022-03-18,58.00 ,160.51 ,164.48 ,159.76 ,163.98 ,123511692.00 ,163.98 
2022-03-17,59.00 ,158.61 ,161.00 ,157.63 ,160.62 ,75615376.00 ,160.62 
2022-03-16,60.00 ,157.05 ,160.00 ,154.46 ,159.59 ,102284859.00 ,159.59 
2022-03-15,61.00 ,150.90 ,155.57 ,150.38 ,155.09 ,92964302.00 ,155.09 
2022-03-14,62.00 ,151.45 ,154.12 ,150.10 ,150.62 ,108732111.00 ,150.62 
2022-03-11,63.00 ,158.93 ,159.28 ,154.50 ,154.73 ,96970102.00 ,154.73 
2022-03-10,64.00 ,160.20 ,160.39 ,155.98 ,158.52 ,105342033.00 ,158.52 
2022-03-09,65.00 ,161.48 ,163.41 ,159.41 ,162.95 ,91454905.00 ,162.95 
2022-03-08,66.00 ,158.82 ,162.88 ,155.80 ,157.44 ,131148280.00 ,157.44 
2022-03-07,67.00 ,163.36 ,165.02 ,159.04 ,159.30 ,96418845.00 ,159.30 
2022-03-04,68.00 ,164.49 ,165.55 ,162.10 ,163.17 ,83819592.00 ,163.17 
2022-03-03,69.00 ,168.47 ,168.91 ,165.55 ,166.23 ,76534638.00 ,166.23 
2022-03-02,70.00 ,164.39 ,167.36 ,162.95 ,166.56 ,79715793.00 ,166.56 
2022-03-01,71.00 ,164.70 ,166.60 ,161.97 ,163.20 ,83385991.00 ,163.20 
2022-02-28,72.00 ,163.06 ,165.42 ,162.43 ,165.12 ,95055927.00 ,165.12 
2022-02-25,73.00 ,163.84 ,165.12 ,160.87 ,164.85 ,91974222.00 ,164.85 
2022-02-24,74.00 ,152.58 ,162.85 ,152.00 ,162.74 ,141147540.00 ,162.74 
2022-02-23,75.00 ,165.54 ,166.15 ,159.75 ,160.07 ,90009247.00 ,160.07 
2022-02-22,76.00 ,164.98 ,166.69 ,162.15 ,164.32 ,91162758.00 ,164.32 
2022-02-18,77.00 ,169.82 ,170.54 ,166.19 ,167.30 ,82772674.00 ,167.30 
2022-02-17,78.00 ,171.03 ,171.91 ,168.47 ,168.88 ,69589344.00 ,168.88 
2022-02-16,79.00 ,171.85 ,173.34 ,170.05 ,172.55 ,61177398.00 ,172.55 
2022-02-15,80.00 ,170.97 ,172.95 ,170.25 ,172.79 ,64286320.00 ,172.79 
2022-02-14,81.00 ,167.37 ,169.58 ,166.56 ,168.88 ,86185530.00 ,168.88 
2022-02-11,82.00 ,172.33 ,173.08 ,168.04 ,168.64 ,98670687.00 ,168.64 
2022-02-10,83.00 ,174.14 ,175.48 ,171.55 ,172.12 ,90851995.00 ,172.12 
2022-02-09,84.00 ,176.05 ,176.65 ,174.90 ,176.28 ,71285038.00 ,176.28 
2022-02-08,85.00 ,171.73 ,175.35 ,171.43 ,174.83 ,74829217.00 ,174.83 
2022-02-07,86.00 ,172.86 ,173.95 ,170.95 ,171.66 ,77251204.00 ,171.66 
2022-02-04,87.00 ,171.68 ,174.10 ,170.68 ,172.39 ,82465400.00 ,172.39 
2022-02-03,88.00 ,174.48 ,176.24 ,172.12 ,172.90 ,89418074.00 ,172.90 
2022-02-02,89.00 ,174.75 ,175.88 ,173.33 ,175.84 ,84914256.00 ,175.84 
2022-02-01,90.00 ,174.01 ,174.84 ,172.31 ,174.61 ,86149904.00 ,174.61 
2022-01-31,91.00 ,170.16 ,175.00 ,169.51 ,174.78 ,115541590.00 ,174.78 
2022-01-28,92.00 ,165.71 ,170.35 ,162.80 ,170.33 ,179935660.00 ,170.33 
2022-01-27,93.00 ,162.45 ,163.84 ,158.28 ,159.22 ,121802222.00 ,159.22 
2022-01-26,94.00 ,163.50 ,164.39 ,157.82 ,158.68 ,89759875.00 ,158.68 
2022-01-25,95.00 ,158.98 ,162.76 ,157.02 ,159.78 ,115729775.00 ,159.78 
2022-01-24,96.00 ,160.02 ,162.30 ,154.70 ,161.62 ,162690444.00 ,161.62 
2022-01-21,97.00 ,164.42 ,166.33 ,162.30 ,162.41 ,122711058.00 ,162.41 
2022-01-20,98.00 ,166.98 ,169.68 ,164.18 ,164.51 ,91420515.00 ,164.51 
2022-01-19,99.00 ,170.00 ,171.08 ,165.94 ,166.23 ,94814990.00 ,166.23 
2022-01-18,100.00 ,171.51 ,172.54 ,169.41 ,169.80 ,91168729.00 ,169.80 
2022-01-14,101.00 ,171.34 ,173.78 ,171.09 ,173.07 ,80440780.00 ,173.07 
2022-01-13,102.00 ,175.78 ,176.62 ,171.79 ,172.19 ,84505760.00 ,172.19 
2022-01-12,103.00 ,176.12 ,177.18 ,174.82 ,175.53 ,74805173.00 ,175.53 
2022-01-11,104.00 ,172.32 ,175.18 ,170.82 ,175.08 ,76138312.00 ,175.08 
2022-01-10,105.00 ,169.08 ,172.50 ,168.17 ,172.19 ,106765552.00 ,172.19 
2022-01-07,106.00 ,172.89 ,174.14 ,171.03 ,172.17 ,86709147.00 ,172.17 
2022-01-06,107.00 ,172.70 ,175.30 ,171.64 ,172.00 ,96903955.00 ,172.00 
2022-01-05,108.00 ,179.61 ,180.17 ,174.64 ,174.92 ,94537602.00 ,174.92 
2022-01-04,109.00 ,182.63 ,182.94 ,179.12 ,179.70 ,99310438.00 ,179.70 
2022-01-03,110.00 ,177.83 ,182.88 ,177.71 ,182.01 ,104701220.00 ,182.01 
2021-12-31,111.00 ,178.09 ,179.23 ,177.26 ,177.57 ,64062261.00 ,177.57 
2021-12-30,112.00 ,179.47 ,180.57 ,178.09 ,178.20 ,59773014.00 ,178.20 
2021-12-29,113.00 ,179.33 ,180.63 ,178.14 ,179.38 ,62348931.00 ,179.38 
